,pathway,GO,parent_at_node_1,parent_at_node_2,parent_at_node_3,parent_at_node_4,parent_at_node_5,parent_at_node_6,parent_at_node_7,parent_at_node_8
544,neural crest cell development (GO:0014032),GO:0014032,developmental process,anatomical structure development,cell development,stem cell development,,,,
545,cotranslational protein targeting to membrane (GO:0006613),GO:0006613,cellular process,cellular localization,localization within membrane,protein localization to membrane,protein targeting,,,
546,positive regulation of synaptic transmission (GO:0050806),GO:0050806,biological regulation,regulation of biological process,positive regulation of biological process,positive regulation of cellular process,positive regulation of cell communication,,,
547,regulation of ubiquitin-protein transferase activity (GO:0051438),GO:0051438,biological regulation,regulation of molecular function,regulation of catalytic activity,regulation of transferase activity,,,,
548,respiratory electron transport chain (GO:0022904),GO:0022904,cellular process,cellular metabolic process,generation of precursor metabolites and energy,electron transport chain,,,,
549,RNA phosphodiester bond hydrolysis (GO:0090501),GO:0090501,cellular process,cellular metabolic process,heterocycle metabolic process,nucleic acid metabolic process,nucleic acid phosphodiester bond hydrolysis,,,
550,cellular lipid catabolic process (GO:0044242),GO:0044242,cellular process,catabolic process,organic substance catabolic process,lipid catabolic process,,,,
551,ncRNA transcription (GO:0098781),GO:0098781,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,nucleic acid-templated transcription,DNA-templated transcription,
552,positive regulation of ribosome biogenesis (GO:0090070),GO:0090070,biological regulation,regulation of biological process,positive regulation of biological process,regulation of cellular component biogenesis,regulation of ribosome biogenesis,,,
553,ribosome biogenesis (GO:0042254),GO:0042254,cellular process,cellular component organization or biogenesis,cellular component biogenesis,ribonucleoprotein complex biogenesis,,,,
554,negative regulation of G-protein coupled receptor protein signaling pathway (GO:0045744),GO:0045744,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,regulation of G protein-coupled receptor signaling pathway,,,
555,connective tissue development (GO:0061448),GO:0061448,developmental process,anatomical structure development,tissue development,,,,,
556,cyclic nucleotide biosynthetic process (GO:0009190),GO:0009190,cellular process,small molecule metabolic process,organic cyclic compound metabolic process,organophosphate biosynthetic process,nucleoside phosphate biosynthetic process,nucleotide biosynthetic process,,
557,clathrin-dependent endocytosis (GO:0072583),GO:0072583,localization,establishment of localization,transport,vesicle-mediated transport,endocytosis,receptor-mediated endocytosis,,
558,rRNA transcription (GO:0009303),GO:0009303,cellular process,primary metabolic process,organic cyclic compound metabolic process,organic cyclic compound biosynthetic process,RNA metabolic process,ncRNA metabolic process,DNA-templated transcription,ncRNA transcription
559,cellular response to glucose stimulus (GO:0071333),GO:0071333,homeostatic process,cellular homeostasis,carbohydrate homeostasis,glucose homeostasis,cellular response to carbohydrate stimulus,response to hexose,cellular response to hexose stimulus,
560,defense response to bacterium (GO:0042742),GO:0042742,biological process involved in interspecies interaction between organisms,response to biotic stimulus,response to external biotic stimulus,,,,,
561,regulation of neurotransmitter receptor activity (GO:0099601),GO:0099601,biological regulation,regulation of biological process,regulation of response to stimulus,regulation of cell communication,,,,
562,translational termination (GO:0006415),GO:0006415,cellular process,cellular component organization or biogenesis,cellular component organization,protein-containing complex organization,protein-containing complex disassembly,,,
563,base-excision repair (GO:0006284),GO:0006284,cellular process,primary metabolic process,organic cyclic compound metabolic process,nucleic acid metabolic process,DNA metabolic process,,,
564,regulation of T cell cytokine production (GO:0002724),GO:0002724,biological regulation,regulation of biological process,regulation of immune system process,regulation of macromolecule metabolic process,regulation of adaptive immune response,regulation of lymphocyte mediated immunity,regulation of T cell mediated immunity,
565,negative regulation of Notch signaling pathway (GO:0045746),GO:0045746,biological regulation,regulation of biological process,regulation of response to stimulus,negative regulation of signaling,regulation of Notch signaling pathway,,,
566,regulation of myelination (GO:0031641),GO:0031641,biological regulation,regulation of biological process,regulation of multicellular organismal process,regulation of multicellular organismal development,regulation of nervous system development,,,
567,glucan biosynthetic process (GO:0009250),GO:0009250,metabolic process,biosynthetic process,macromolecule metabolic process,macromolecule biosynthetic process,polysaccharide biosynthetic process,,,
568,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway (GO:1900740),GO:1900740,cellular process,regulation of biological process,regulation of membrane permeability,regulation of cellular localization,regulation of protein localization,regulation of intracellular protein transport,regulation of establishment of protein localization to mitochondrion,
